"Plot Title: EH263-H15"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20460581, SEN S/N: 20460581, LBL: Temp_H15)","RH, % (LGR S/N: 20460581, SEN S/N: 20460581, LBL: RH_H15)","End Of File (LGR S/N: 20460581)"
312,01/09/23 01:05:11 PM,70.887,38.160,
313,01/09/23 01:05:12 PM,70.887,38.160,
314,01/09/23 01:05:13 PM,70.887,38.160,
315,01/09/23 01:05:14 PM,70.887,38.193,
316,01/09/23 01:05:15 PM,70.887,38.193,
317,01/09/23 01:05:16 PM,70.887,38.193,
318,01/09/23 01:05:17 PM,70.887,38.226,
319,01/09/23 01:05:18 PM,70.930,38.228,
320,01/09/23 01:05:19 PM,70.887,38.226,
321,01/09/23 01:05:20 PM,70.887,38.226,
322,01/09/23 01:05:21 PM,70.887,38.226,
323,01/09/23 01:05:22 PM,70.930,38.228,
324,01/09/23 01:05:23 PM,70.887,38.226,
325,01/09/23 01:05:24 PM,70.887,38.226,
326,01/09/23 01:05:25 PM,70.930,38.228,
327,01/09/23 01:05:26 PM,70.930,38.228,
328,01/09/23 01:05:27 PM,70.887,38.226,
329,01/09/23 01:05:28 PM,70.930,38.228,
330,01/09/23 01:05:29 PM,70.930,38.228,
331,01/09/23 01:05:30 PM,70.930,38.228,
332,01/09/23 01:05:31 PM,70.930,38.228,
333,01/09/23 01:05:32 PM,70.930,38.228,
334,01/09/23 01:05:33 PM,70.930,38.195,
335,01/09/23 01:05:34 PM,70.930,38.228,
336,01/09/23 01:05:35 PM,70.930,38.228,
337,01/09/23 01:05:36 PM,70.930,38.228,
338,01/09/23 01:05:37 PM,70.930,38.228,
339,01/09/23 01:05:38 PM,70.930,38.228,
340,01/09/23 01:05:39 PM,70.930,38.228,
341,01/09/23 01:05:40 PM,70.930,38.261,
342,01/09/23 01:05:41 PM,70.930,38.261,
343,01/09/23 01:05:42 PM,70.930,38.261,
344,01/09/23 01:05:43 PM,70.930,38.293,
345,01/09/23 01:05:44 PM,70.930,38.293,
346,01/09/23 01:05:45 PM,70.930,38.293,
347,01/09/23 01:05:46 PM,70.930,38.293,
348,01/09/23 01:05:47 PM,70.974,38.296,
349,01/09/23 01:05:48 PM,70.930,38.326,
350,01/09/23 01:05:49 PM,70.974,38.329,
351,01/09/23 01:05:50 PM,70.974,38.329,
352,01/09/23 01:05:51 PM,70.974,38.329,
353,01/09/23 01:05:52 PM,70.974,38.329,
354,01/09/23 01:05:53 PM,70.974,38.329,
355,01/09/23 01:05:54 PM,70.974,38.361,
356,01/09/23 01:05:55 PM,70.974,38.361,
357,01/09/23 01:05:56 PM,70.974,38.361,
358,01/09/23 01:05:57 PM,70.974,38.361,
359,01/09/23 01:05:58 PM,70.974,38.361,
360,01/09/23 01:05:59 PM,70.974,38.361,
361,01/09/23 01:06:00 PM,70.974,38.361,
362,01/09/23 01:06:01 PM,71.017,38.364,
363,01/09/23 01:06:02 PM,70.974,38.361,
364,01/09/23 01:06:03 PM,70.974,38.361,
365,01/09/23 01:06:04 PM,70.974,38.361,
366,01/09/23 01:06:05 PM,71.017,38.364,
367,01/09/23 01:06:06 PM,70.974,38.361,
368,01/09/23 01:06:07 PM,71.017,38.364,
369,01/09/23 01:06:08 PM,71.017,38.364,
370,01/09/23 01:06:09 PM,71.017,38.364,
371,01/09/23 01:06:10 PM,71.017,38.364,
372,01/09/23 01:06:11 PM,71.017,38.364,
373,01/09/23 01:06:12 PM,71.017,38.364,
374,01/09/23 01:06:13 PM,71.017,38.364,
375,01/09/23 01:06:14 PM,71.017,38.364,
376,01/09/23 01:06:15 PM,71.017,38.364,
377,01/09/23 01:06:16 PM,71.017,38.364,
378,01/09/23 01:06:17 PM,71.017,38.364,
379,01/09/23 01:06:18 PM,71.017,38.364,
380,01/09/23 01:06:19 PM,71.017,38.396,
381,01/09/23 01:06:20 PM,71.017,38.396,
382,01/09/23 01:06:21 PM,71.060,38.366,
383,01/09/23 01:06:22 PM,71.017,38.364,
384,01/09/23 01:06:23 PM,71.017,38.364,
385,01/09/23 01:06:24 PM,71.060,38.399,
386,01/09/23 01:06:25 PM,71.060,38.399,
387,01/09/23 01:06:26 PM,71.060,38.399,
388,01/09/23 01:06:27 PM,71.060,38.366,
389,01/09/23 01:06:28 PM,71.060,38.399,
390,01/09/23 01:06:29 PM,71.060,38.366,
391,01/09/23 01:06:30 PM,71.060,38.366,
392,01/09/23 01:06:31 PM,71.060,38.366,
393,01/09/23 01:06:32 PM,71.060,38.366,
394,01/09/23 01:06:33 PM,71.060,38.366,
395,01/09/23 01:06:34 PM,71.060,38.366,
396,01/09/23 01:06:35 PM,71.060,38.366,
397,01/09/23 01:06:36 PM,71.060,38.366,
398,01/09/23 01:06:37 PM,71.060,38.399,
399,01/09/23 01:06:38 PM,71.060,38.366,
400,01/09/23 01:06:39 PM,71.103,38.369,
401,01/09/23 01:06:40 PM,71.060,38.366,
402,01/09/23 01:06:41 PM,71.103,38.369,
403,01/09/23 01:06:42 PM,71.103,38.369,
404,01/09/23 01:06:43 PM,71.103,38.369,
405,01/09/23 01:06:44 PM,71.103,38.369,
406,01/09/23 01:06:45 PM,71.103,38.369,
407,01/09/23 01:06:46 PM,71.103,38.369,
408,01/09/23 01:06:47 PM,71.103,38.369,
409,01/09/23 01:06:48 PM,71.103,38.369,
410,01/09/23 01:06:49 PM,71.103,38.369,
411,01/09/23 01:06:50 PM,71.103,38.369,
412,01/09/23 01:06:51 PM,71.103,38.401,
413,01/09/23 01:06:52 PM,71.103,38.369,
414,01/09/23 01:06:53 PM,71.103,38.369,
415,01/09/23 01:06:54 PM,71.103,38.369,
416,01/09/23 01:06:55 PM,71.103,38.369,
417,01/09/23 01:06:56 PM,71.146,38.371,
418,01/09/23 01:06:57 PM,71.103,38.401,
419,01/09/23 01:06:58 PM,71.146,38.371,
420,01/09/23 01:06:59 PM,71.146,38.371,
421,01/09/23 01:07:00 PM,71.146,38.371,
422,01/09/23 01:07:01 PM,71.146,38.371,
423,01/09/23 01:07:02 PM,71.146,38.371,
424,01/09/23 01:07:03 PM,71.146,38.371,
425,01/09/23 01:07:04 PM,71.146,38.371,
426,01/09/23 01:07:05 PM,71.146,38.371,
427,01/09/23 01:07:06 PM,71.146,38.371,
428,01/09/23 01:07:07 PM,71.146,38.371,
429,01/09/23 01:07:08 PM,71.146,38.371,
430,01/09/23 01:07:09 PM,71.146,38.371,
431,01/09/23 01:07:10 PM,71.146,38.371,
432,01/09/23 01:07:11 PM,71.146,38.371,
433,01/09/23 01:07:12 PM,71.146,38.371,
434,01/09/23 01:07:13 PM,71.146,38.371,
435,01/09/23 01:07:14 PM,71.146,38.371,
436,01/09/23 01:07:15 PM,71.146,38.371,
437,01/09/23 01:07:16 PM,71.146,38.371,
438,01/09/23 01:07:17 PM,71.190,38.374,
439,01/09/23 01:07:18 PM,71.190,38.374,
440,01/09/23 01:07:19 PM,71.146,38.371,
441,01/09/23 01:07:20 PM,71.146,38.371,
442,01/09/23 01:07:21 PM,71.190,38.374,
443,01/09/23 01:07:22 PM,71.190,38.374,
444,01/09/23 01:07:23 PM,71.190,38.374,
445,01/09/23 01:07:24 PM,71.190,38.374,
446,01/09/23 01:07:25 PM,71.190,38.374,
447,01/09/23 01:07:26 PM,71.190,38.374,
448,01/09/23 01:07:27 PM,71.190,38.374,
449,01/09/23 01:07:28 PM,71.190,38.374,
450,01/09/23 01:07:29 PM,71.190,38.374,
451,01/09/23 01:07:30 PM,71.190,38.374,
452,01/09/23 01:07:31 PM,71.190,38.374,
453,01/09/23 01:07:32 PM,71.190,38.341,
454,01/09/23 01:07:33 PM,71.190,38.374,
455,01/09/23 01:07:34 PM,71.190,38.341,
456,01/09/23 01:07:35 PM,71.231,38.376,
457,01/09/23 01:07:36 PM,71.190,38.341,
458,01/09/23 01:07:37 PM,71.190,38.341,
459,01/09/23 01:07:38 PM,71.190,38.374,
460,01/09/23 01:07:39 PM,71.231,38.376,
461,01/09/23 01:07:40 PM,71.231,38.343,
462,01/09/23 01:07:41 PM,71.231,38.376,
463,01/09/23 01:07:42 PM,71.231,38.376,
464,01/09/23 01:07:43 PM,71.231,38.376,
465,01/09/23 01:07:44 PM,71.231,38.343,
466,01/09/23 01:07:45 PM,71.231,38.343,
467,01/09/23 01:07:46 PM,71.231,38.343,
468,01/09/23 01:07:47 PM,71.231,38.343,
469,01/09/23 01:07:48 PM,71.231,38.343,
470,01/09/23 01:07:49 PM,71.231,38.343,
471,01/09/23 01:07:50 PM,71.231,38.376,
472,01/09/23 01:07:51 PM,71.231,38.343,
473,01/09/23 01:07:52 PM,71.231,38.343,
474,01/09/23 01:07:53 PM,71.231,38.343,
475,01/09/23 01:07:54 PM,71.231,38.343,
476,01/09/23 01:07:55 PM,71.231,38.311,
477,01/09/23 01:07:56 PM,71.231,38.311,
478,01/09/23 01:07:57 PM,71.231,38.311,
479,01/09/23 01:07:58 PM,71.231,38.376,
480,01/09/23 01:07:59 PM,71.274,38.346,
481,01/09/23 01:08:00 PM,71.231,38.311,
482,01/09/23 01:08:01 PM,71.274,38.313,
483,01/09/23 01:08:02 PM,71.274,38.313,
484,01/09/23 01:08:03 PM,71.274,38.313,
485,01/09/23 01:08:04 PM,71.274,38.313,
486,01/09/23 01:08:05 PM,71.274,38.313,
487,01/09/23 01:08:06 PM,71.274,38.313,
488,01/09/23 01:08:07 PM,71.274,38.313,
489,01/09/23 01:08:08 PM,71.274,38.313,
490,01/09/23 01:08:09 PM,71.274,38.313,
491,01/09/23 01:08:10 PM,71.274,38.313,
492,01/09/23 01:08:11 PM,71.274,38.313,
493,01/09/23 01:08:12 PM,71.274,38.346,
494,01/09/23 01:08:13 PM,71.274,38.313,
495,01/09/23 01:08:14 PM,71.274,38.313,
496,01/09/23 01:08:15 PM,71.274,38.313,
497,01/09/23 01:08:16 PM,71.274,38.313,
498,01/09/23 01:08:17 PM,71.274,38.313,
499,01/09/23 01:08:18 PM,71.274,38.313,
500,01/09/23 01:08:19 PM,71.274,38.313,
501,01/09/23 01:08:20 PM,71.274,38.313,
502,01/09/23 01:08:21 PM,71.317,38.316,
503,01/09/23 01:08:22 PM,71.274,38.313,
504,01/09/23 01:08:23 PM,71.317,38.316,
505,01/09/23 01:08:24 PM,71.317,38.316,
506,01/09/23 01:08:25 PM,71.317,38.316,
507,01/09/23 01:08:26 PM,71.317,38.316,
508,01/09/23 01:08:27 PM,71.317,38.316,
509,01/09/23 01:08:28 PM,71.317,38.316,
510,01/09/23 01:08:29 PM,71.317,38.283,
511,01/09/23 01:08:30 PM,71.317,38.283,
512,01/09/23 01:08:31 PM,71.317,38.316,
513,01/09/23 01:08:32 PM,71.317,38.283,
514,01/09/23 01:08:33 PM,71.317,38.316,
515,01/09/23 01:08:34 PM,71.317,38.283,
516,01/09/23 01:08:35 PM,71.317,38.283,
517,01/09/23 01:08:36 PM,71.317,38.283,
